Id,Name,Description,Address,ContactNumber,AdminUserId
5afd178e-3080-4b7c-9cde-379dfe4a0592,Sakarya Orduevi,"Türk Silahlı Kuvvetlerine bağlı Sakarya Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Sakarya Orduevi içerisinde konaklamak isteyenler için; Sakarya Orduevi Fiyatları, Sakarya Orduevi Resimleri, Sakarya Orduevi Rezervasyon, Sakarya Askeri Gazino ve Sakarya Orduevi Yorumları ‘na yer verdik.","Cumhuriyet Mahallesi, Çark Caddesi, No151 Adapazarı – Sakarya",0264 273 30 61 — 0264 278 37 12,admin-123
b921b8cc-6eef-4baf-81f0-1e939cfe23ff,İzmir Kordon Orduevi,"Türk Silahlı Kuvvetlerine bağlı İzmir Kordon Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda İzmir Kordon Orduevi içerisinde konaklamak isteyenler için; İzmir Kordon Orduevi Fiyatları, Alsancak Orduevi, Alsancak Subay Orduevi, Alsancak Astsubay Orduevi, İzmir Kordon Orduevi Resimleri, İzmir Kordon Orduevi Rezervasyon, İzmir Kordon Askeri Gazino ve İzmir Kordon Orduevi Yorumları ‘na yer verdik.","Kültür Mahallesi, Cumhuriyet Bulvarı, No163 Kordon – Alsancak – İzmir",0232 463 50 53,admin-123
0d4a45ba-cc16-43ff-9043-37d95aa83e04,Sivas Orduevi,"Türk Silahlı Kuvvetlerine bağlı Sivas Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Sivas Orduevi içerisinde konaklamak isteyenler için; Sivas Orduevi Fiyatları, Sivas Orduevi Resimleri, Sivas Orduevi Rezervasyon, Sivas Askeri Gazino ve Sivas Orduevi Yorumları ‘na yer verdik.","Dörteylül Mahallesi, Fatih Caddesi Merkez – Sivas",0346 223 56 08,admin-123
c909db6e-33be-4f8e-8e1a-f65c32f28582,Uşak Orduevi,"Türk Silahlı Kuvvetlerine bağlı Uşak Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Uşak Orduevi içerisinde konaklamak isteyenler için; Uşak Orduevi Fiyatları, Uşak Orduevi Resimleri, Uşak Orduevi Rezervasyon, Uşak Askeri Gazino ve Uşak Orduevi Yorumları ‘na yer verdik.","Elmalıdere Mahallesi, Nuri Şeker Caddesi Merkez – Uşak",0276 223 12 70,admin-123
e453e034-0bf7-4033-811c-497f4a0b83d7,Elazığ Orduevi,"Türk Silahlı Kuvvetlerine bağlı Elazığ Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Elazığ Orduevi içerisinde konaklamak isteyenler için; Elazığ Orduevi Fiyatları, Elazığ Orduevi Resimleri, Elazığ Orduevi Rezervasyon, Elazığ Askeri Gazino ve Elazığ Orduevi Yorumları ‘na yer verdik.","Mustafa Paşa Mahallesi, Kumlu Sokak No4 Merkez – Elazığ",0424 233 77 98,admin-123
3ef5ede6-c001-4db7-bd7c-d66c9b080701,Keşan Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Keşan Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Keşan Astsubay Orduevi içerisinde konaklamak isteyenler için; Keşan Astsubay Orduevi Fiyatları, Keşan Astsubay Orduevi Resimleri, Keşan Astsubay Orduevi Rezervasyon ve Keşan Astsubay Orduevi Yorumları ‘na yer verdik.","Büyük Cami Mahallesi, Fevzi Çakmak Caddesi,  No10  Keşan – Edirne",0284 714 25 08,admin-123
dc375f61-5d73-488a-940d-f7880b051409,Burdur Orduevi,"Türk Silahlı Kuvvetlerine bağlı Burdur Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Burdur Orduevi içerisinde konaklamak isteyenler için; Burdur Orduevi Fiyatları, Burdur Orduevi Resimleri, Burdur Orduevi Rezervasyon ve Burdur Orduevi Yorumları ‘na yer verdik.","Burç Mahallesi, Şehit Emeksiz Cadesi, No3  Merkez – Burdur",0248 233 52 65,admin-123
357402ae-c5bd-4fd2-b030-648d4196ae13,Bursa Orduevi,"Türk Silahlı Kuvvetlerine bağlı Bursa Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Bursa Orduevi içerisinde konaklamak isteyenler için; Bursa Orduevi Fiyatları, Bursa Orduevi Resimleri, Bursa Orduevi Rezervasyon ve Bursa Orduevi Yorumları ‘na yer verdik.","Osmangazi Mahallesi, Yiğitler Caddesi, No12 Osmangazi – Bursa",0224 220 13 99,admin-123
2b1084ef-f553-45d9-b5ee-5dd33ea06f4c,Tokat Orduevi,"Türk Silahlı Kuvvetlerine bağlı Tokat Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Tokat Orduevi içerisinde konaklamak isteyenler için; Tokat Orduevi Fiyatları, Tokat Orduevi Resimleri, Tokat Orduevi Rezervasyon, Tokat Askeri Gazino ve Tokat Orduevi Yorumları ‘na yer verdik.","Alipaşa Mahallesi, Gazi Osman Paşa Bulvarı Üzeri Merkez – Tokat",0356  214 31 31,admin-123
9da5ccdc-fd70-453e-86b1-c0252a064f67,Siirt Orduevi,"Türk Silahlı Kuvvetlerine bağlı Siirt Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Siirt Orduevi içerisinde konaklamak isteyenler için; Siirt Orduevi Fiyatları, Siirt Orduevi Resimleri, Siirt Orduevi Rezervasyon, Siirt Askeri Gazino ve Siirt Orduevi Yorumları ‘na yer verdik.","Barış Mahallesi, Kurtalan Yolu Caddesi Üzeri Merkez – Siirt",0484 224 63 16  — 0484 223 98 31,admin-123
